,Abbreviation,EndDate,ID,Language,LegislativePeriodNumber,Modified,SessionName,SessionNumber,StartDate,Title,Type,TypeName
89,WS14,2014-12-12T00:00:00,4916,FR,49,2013-05-24T14:12:04.617,Session d'hiver 2014,16,2014-11-24T00:00:00,IV/2014,2,Sessions ordinaires  (durée 3 semaines)
90,FS15,2015-03-20T00:00:00,4917,FR,49,2015-03-20T09:50:17.633,Session de printemps 2015,17,2015-03-02T00:00:00,I/2015,2,Sessions ordinaires  (durée 3 semaines)
91,Mai15,2015-05-08T00:00:00,4918,FR,49,2015-06-25T11:22:38.96,Session spéciale mai 2015,18,2015-05-04T00:00:00,Ia/II/2015,3,Session spéciale (durée 1 semaine)
92,SoSe15,2015-06-19T00:00:00,4919,FR,49,2014-03-05T11:00:47.03,Session d'été 2015,19,2015-06-01T00:00:00,II/2015,2,Sessions ordinaires  (durée 3 semaines)
93,HS15,2015-09-25T00:00:00,4920,FR,49,2014-03-05T11:05:15.937,Session d'automne 2015,20,2015-09-07T00:00:00,III/2015,2,Sessions ordinaires  (durée 3 semaines)
94,WS15,2015-12-18T00:00:00,5001,FR,50,2014-05-27T15:55:20.97,Session d'hiver 2015,1,2015-11-30T00:00:00,IV/2015,2,Sessions ordinaires  (durée 3 semaines)
95,FS16,2016-03-18T00:00:00,5002,FR,50,2016-03-18T07:56:41.413,Session de printemps 2016,2,2016-02-29T00:00:00,I/2016,2,Sessions ordinaires  (durée 3 semaines)
96,April16,2016-04-27T00:00:00,5003,FR,50,2016-06-24T14:47:00.13,Session spéciale avril 2016,3,2016-04-25T00:00:00,,3,Session spéciale (durée 1 semaine)
97,SoSe16,2016-06-17T00:00:00,5004,FR,50,2016-06-24T14:57:53.987,Session d'été 2016,4,2016-05-30T00:00:00,Ia/II/2016,2,Sessions ordinaires  (durée 3 semaines)
98,HS16,2016-09-30T00:00:00,5005,FR,50,2015-10-06T08:53:19.753,Session d'automne 2016,5,2016-09-12T00:00:00,III/2016,2,Sessions ordinaires  (durée 3 semaines)
99,FEB90,1990-02-08T00:00:00,4311,FR,43,2013-07-25T09:14:14.937,Session spéciale février 1990,11,1990-02-05T00:00:00,,3,Session spéciale (durée 1 semaine)
100,WS03,2003-12-19T00:00:00,4701,FR,47,2011-03-18T17:02:07.72,Session d'hiver 2003,1,2003-12-01T00:00:00,IV/2003,2,Sessions ordinaires  (durée 3 semaines)
101,SoSe05,2005-06-17T00:00:00,4708,FR,47,2011-03-18T17:02:07.72,Session d'été 2005,8,2005-05-30T00:00:00,II/2005,2,Sessions ordinaires  (durée 3 semaines)
102,FR93,1993-03-19T00:00:00,4408,FR,44,2013-07-25T08:50:29.803,Session de printemps 1993,8,1993-03-03T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
103,WI99,1999-12-22T00:00:00,4601,FR,46,2013-07-25T08:42:38.82,Session d'hiver 1999,1,1999-12-06T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
104,WI96,1996-12-13T00:00:00,4505,FR,45,2013-07-25T08:46:10.447,Session d'hiver 1996,5,1996-11-25T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
105,FS01,2001-03-23T00:00:00,4606,FR,46,2013-07-25T08:42:01.967,Session de printemps 2001,6,2001-03-05T00:00:00,,2,Sessions ordinaires  (durée 3 semaines)
